Date,Price
Jan-1997,3.45
Feb-1997,2.15
Mar-1997,1.89
Apr-1997,2.03
May-1997,2.25
Jun-1997,2.2
Jul-1997,2.19
Aug-1997,2.49
Sep-1997,2.88
Oct-1997,3.07
Nov-1997,3.01
Dec-1997,2.35
Jan-1998,2.09
Feb-1998,2.23
Mar-1998,2.24
Apr-1998,2.43
May-1998,2.14
Jun-1998,2.17
Jul-1998,2.17
Aug-1998,1.85
Sep-1998,2.02
Oct-1998,1.91
Nov-1998,2.12
Dec-1998,1.72
Jan-1999,1.85
Feb-1999,1.77
Mar-1999,1.79
Apr-1999,2.15
May-1999,2.26
Jun-1999,2.3
Jul-1999,2.31
Aug-1999,2.8
Sep-1999,2.55
Oct-1999,2.73
Nov-1999,2.37
Dec-1999,2.36
Jan-2000,2.42
Feb-2000,2.66
Mar-2000,2.79
Apr-2000,3.04
May-2000,3.59
Jun-2000,4.29
Jul-2000,3.99
Aug-2000,4.43
Sep-2000,5.06
Oct-2000,5.02
Nov-2000,5.52
Dec-2000,8.9
Jan-2001,8.17
Feb-2001,5.61
Mar-2001,5.23
Apr-2001,5.19
May-2001,4.19
Jun-2001,3.72
Jul-2001,3.11
Aug-2001,2.97
Sep-2001,2.19
Oct-2001,2.46
Nov-2001,2.34
Dec-2001,2.3
Jan-2002,2.32
Feb-2002,2.32
Mar-2002,3.03
Apr-2002,3.43
May-2002,3.5
Jun-2002,3.26
Jul-2002,2.99
Aug-2002,3.09
Sep-2002,3.55
Oct-2002,4.13
Nov-2002,4.04
Dec-2002,4.74
Jan-2003,5.43
Feb-2003,7.71
Mar-2003,5.93
Apr-2003,5.26
May-2003,5.81
Jun-2003,5.82
Jul-2003,5.03
Aug-2003,4.99
Sep-2003,4.62
Oct-2003,4.63
Nov-2003,4.47
Dec-2003,6.13
Jan-2004,6.14
Feb-2004,5.37
Mar-2004,5.39
Apr-2004,5.71
May-2004,6.33
Jun-2004,6.27
Jul-2004,5.93
Aug-2004,5.41
Sep-2004,5.15
Oct-2004,6.35
Nov-2004,6.17
Dec-2004,6.58
Jan-2005,6.15
Feb-2005,6.14
Mar-2005,6.96
Apr-2005,7.16
May-2005,6.47
Jun-2005,7.18
Jul-2005,7.63
Aug-2005,9.53
Sep-2005,11.75
Oct-2005,13.42
Nov-2005,10.3
Dec-2005,13.05
Jan-2006,8.69
Feb-2006,7.54
Mar-2006,6.89
Apr-2006,7.16
May-2006,6.25
Jun-2006,6.21
Jul-2006,6.17
Aug-2006,7.14
Sep-2006,4.9
Oct-2006,5.85
Nov-2006,7.41
Dec-2006,6.73
Jan-2007,6.55
Feb-2007,8.0
Mar-2007,7.11
Apr-2007,7.6
May-2007,7.64
Jun-2007,7.35
Jul-2007,6.22
Aug-2007,6.22
Sep-2007,6.08
Oct-2007,6.74
Nov-2007,7.1
Dec-2007,7.11
Jan-2008,7.99
Feb-2008,8.54
Mar-2008,9.41
Apr-2008,10.18
May-2008,11.27
Jun-2008,12.69
Jul-2008,11.09
Aug-2008,8.26
Sep-2008,7.67
Oct-2008,6.74
Nov-2008,6.68
Dec-2008,5.82
Jan-2009,5.24
Feb-2009,4.52
Mar-2009,3.96
Apr-2009,3.5
May-2009,3.83
Jun-2009,3.8
Jul-2009,3.38
Aug-2009,3.14
